character,wubi,pinyin
屋,ngc ngcf,wū
屎,noi,shǐ xī
屏,nua nuak,píng bǐng bìng
屑,nied,xiè
展,nae naei,zhǎn
属,ntk ntky,shǔ zhǔ
屠,nft nftj,tú
屡,no nov novd,lǚ
履,ntt,lǚ
屯,gb gbn gbnv,tún zhūn
山,mmm,shān
屹,mtnn,yì
屿,mgn,yǔ xù
岁,mqu,suì
岂,mn mnb,qǐ kǎi
岐,mfc mfcy,qí
岔,wvmj,chà
岖,maq maqy,qū
岗,mmq,gǎng gāng
岚,mmqu,lán
岛,qynm,dǎo
岩,mdf,yán
岭,mwyc,lǐng
岳,rgm rgmj,yuè
岸,mdfj,àn
峙,mff mffy,zhì shì
峡,mgu mguw,xiá
峦,yom yomj,luán
峨,mtr mtrt,é
峭,mi mie mieg,qiào
峰,mtd mtdh,fēng
峻,mcw mcwt,jùn
崇,mpf mpfi,chóng
崎,mds mdsk,qí
崔,mwy mwyf,cuī
崖,mdff,yá yái
崛,mnbm,jué
崩,mee meef,bēng
崭,ml mlr mlrj,zhǎn chán
嵌,maf mafw,qiàn kàn qiān
嵩,mym mymk,sōng
巅,mfh mfhm,diān
巍,mtv mtvc,wēi wéi
川,kthh,chuān
州,ytyh,zhōu
巡,vp vpv,xún
巢,vjs vjsu,cháo
工,a aaaa,gōng
左,da daf,zuǒ
巧,agnn,qiǎo
巨,and,jù
巩,amy,gǒng
巫,aww awwi,wū wú
差,uda udaf,chà chā chāi cī
己,nng nngn,jǐ
已,nnnn,yǐ
巳,nngn,sì
巴,cnh cnhn,bā
巷,awn,xiàng hàng
巽,nna nnaw,xùn
巾,mhk,jīn
币,tmh tmhk,bì
市,ymhj,shì
布,dmh dmhj,bù
帅,jmh jmhh,shuài shuò
帆,mhm mhmy,fān
师,jgm jgmh,shī
希,qdm,xī
帐,mht mhty,zhàng
帕,mhr,pà mò
帖,mhhk,tiè tiě tiē
帘,pwm,lián
帚,vpm vpmh,zhǒu
帛,rmh rmhj,bó
帜,mhkw,zhì
帝,up upm upmh,dì
带,gkp gkph,dài
帧,mhhm,zhēn zhèng
席,yam yamh,xí
帮,dt dtbh,bāng
帷,mhw mhwy,wéi
常,ipkh,cháng
帼,mhl mhly,guó
帽,mhj mhjh,mào
幅,mhg mhgl,fú
幌,mhjq,huǎng
幕,ajdh,mù
幢,mhu mhuf,chuáng zhuàng
干,fggh,gān gàn hán
平,gu guh guhk,píng
年,rh,nián
并,ua uaj,bìng bīng
幸,fuf,xìng
幺,xnny,yāo
幻,xnn,huàn
幼,xln,yòu yào
幽,xxm xxmk,yōu
广,yygt,guǎng ān
庄,yfd,zhuāng
庆,yd ydi,qìng
庇,yxx yxxv,bì
床,ysi,chuáng
序,ycb,xù
庐,yyne,lú
库,ylk,kù
应,yid,yīng yìng
底,yqa,dǐ de
店,yhk yhkd,diàn
庙,ymd,miào
庚,yvw yvwi,gēng
府,ywf,fǔ
庞,ydx ydxv,páng
废,ynty,fèi
度,ya yac yaci,dù duó
座,yww,zuò
庭,ytfp,tíng tìng
庵,ydjn,ān
庶,yao yaoi,shù
康,yvi yvii,kāng
庸,yveh,yōng yóng
廉,yuvo,lián
廊,yyv yyvb,láng
廓,yybb,kuò
廖,ynw ynwe,liào
廛,yjf yjff,chán
延,thp thpd,yán
廷,tfpd,tíng
建,vfhp,jiàn
廿,agh aghg,niàn
开,ga gak,kāi
弁,caj,biàn
异,naj,yì
弃,yca,qì
弄,gaj,nòng lòng
弈,yoa yoaj,yì
弊,umia,bì
弋,agny,yì
式,aa aad,shì
弓,xng xngn,gōng
引,xh xhh,yǐn
弗,xjk,fú
弘,xcy,hóng
弛,xb xbn,chí shǐ
弟,uxh uxht,dì tì tuí
张,xt xta xtay,zhāng zhàng
弥,xqi xqiy,mí
弦,xyx xyxy,xián
弧,xrc xrcy,hú
弯,yox yoxb,wān
弱,xu xux xuxu,ruò
弹,xuj xujf,dàn tán
强,xk xkj xkjy,qiáng qiǎng jiàng
归,jv jvg,guī kuì
当,iv ivf,dāng dàng dǎng
录,vi viu,lù
彖,xeu,tuàn
彗,dhdv,huì suì
形,gae gaet,xíng
彤,mye myet,tóng
彦,uter,yàn
彩,ese,cǎi
彪,hame,biāo
彬,sse,bīn
彭,fkue,péng bāng
彰,uje,zhāng
影,jyie,yǐng
彷,tyn,páng fǎng
役,tmc tmcy,yì
彻,tavn,chè
彼,thc thcy,bǐ
往,tyg tygg,wǎng wàng
征,tgh tghg,zhēng zhǐ
径,tca tcag,jìng
待,tffy,dài dāi
很,tve tvey,hěn
徊,tlk tlkg,huái huí
律,tvfh,lǜ
徐,twt twty,xú
徒,tfhy,tú
得,tj tjg,dé děi de
徘,tdjd,pái péi
徙,thh thhy,xǐ
御,trh trhb,yù
徨,trg trgg,huáng
循,trfh,xún
微,tmg tmgt,wēi wéi
德,tfl tfln,dé
徽,tmgt,huī
心,ny,xīn
必,nt nte,bì
忆,nn nnn,yì
忌,nnu,jì
忍,vynu,rěn
忏,ntfh,chàn
忐,hnu,tǎn
忑,ghnu,tè
志,fn fnu,zhì
忘,ynnu,wàng wáng
忙,nynn,máng
忝,gdn gdnu,tiǎn
忠,khn khnu,zhōng
忡,nkh nkhh,chōng
忧,ndn ndnn,yōu
快,nnw,kuài
忱,np npq npqn,chén
念,wynn,niàn
忽,qrn qrnu,hū
忿,wvnu,fèn
怀,ng ngi ngiy,huái
态,dyn dynu,tài
怂,wwn wwnu,sǒng
怅,nta ntay,chàng
怆,nwb nwbn,chuàng
怎,thfn,zěn
怒,vcn vcnu,nù
怔,ngh nghg,zhēng
怕,nr nrg,pà
怖,ndm ndmh,bù
怜,nwyc,lián
思,ln lnu,sī sāi sì
怠,ckn cknu,dài
怡,nck nckg,yí
急,qvn,jí
怦,ngu nguh,pēng
性,ntg ntgg,xìng
怨,qbn qbnu,yuàn
怪,nc ncf ncfg,guài
怯,nfcy,qiè
总,ukn uknu,zǒng zōng
恃,nff nffy,shì
恋,yon yonu,liàn
恍,niq niqn,huǎng
恐,amyn,kǒng
恒,ngj ngjg,héng
恕,vkn vknu,shù
恙,ugn ugnu,yàng
恢,ndo ndoy,huī
恣,uqwn,zì
恤,ntl ntlg,xù
恨,nv nve nvey,hèn
恩,ldn ldnu,ēn
恪,ntkg,kè
恬,ntd ntdg,tián
恭,awnu,gōng
息,thn,xī
恰,nwgk,qià
恳,venu,kěn
恶,gogn,è wù ě wū
恺,nmn nmnn,kǎi
恼,nyb nybh,nǎo
悄,ni nie nieg,qiǎo qiāo
悉,ton,xī
悍,njf njfh,hàn
悔,ntx ntxu,huǐ
悖,nfpb,bèi bó
悟,ngkg,wù
悠,whtn,yōu
患,kkhn,huàn
悦,nuk nukq,yuè
您,wqin,nín
悬,egcn,xuán
悯,nuy,mǐn
悲,djdn,bēi
悴,nywf,cuì
悸,ntb ntbg,jì
悼,nhjh,dào
情,nge ngeg,qíng
惆,nmf nmfk,chóu
惊,nyiy,jīng
惋,npqb,wǎn
惑,akgn,huò
惕,njq njqr,tì
惚,nqr nqrn,hū bū
惜,najg,xī
惟,nwy nwyg,wéi
惠,gjh gjhn,huì
惦,nyh nyhk,diàn
惧,nhw,jù
惨,ncd ncde,cǎn
惩,tghn,chéng
惫,tln tlnu,bèi
惭,nl nlr nlrh,cán
惮,nuj,dàn dá
惯,nxf nxfm,guàn
惰,nda ndae,duò
想,shn shnu,xiǎng
惶,nrgg,huáng
惹,adkn,rě
惺,njt njtg,xīng
愁,tonu,chóu
愈,wgen,yù
愉,nw nwg nwgj,yú tōu
意,ujn ujnu,yì
愕,nkk nkkn,è
愚,jmhn,yú
感,dgkn,gǎn
愣,nly nlyn,lèng léng
愤,nfa nfam,fèn
愧,nrq nrqc,kuì
愿,drin,yuàn
慈,uxxn,cí
慌,nay nayq,huāng huǎng
慎,nfh nfhw,shèn
慑,nbc nbcc,shè zhé
慕,ajdn,mù
慢,nj njl njlc,màn
慧,dhdn,huì
慨,nvc nvcq,kǎi
慰,nfi nfin,wèi
慷,nyv nyvi,kāng kǎng
憋,umin,biē
憎,nul nulj,zēng
憔,nwyo,qiáo
憧,nujf,chōng
憨,nbtn,hān
憩,tdtn,qì
憬,njy njyi,jǐng
憾,ndgn,hàn
懂,nat,dǒng
懈,nq nqe nqeh,xiè
懊,ntm ntmd,ào
懒,ngkm,lǎn
懦,nfdj,nuò
懿,fpgn,yì
戈,agnt,gē
戊,dny dnyt,wù
戋,gggt,jiān
戌,dgn dgnt,xū
戍,dynt,shù
戎,ade,róng
戏,ca cat,xì hū xī
成,dn dnn dnnt,chéng
我,q trn,wǒ
戒,aak,jiè
戕,nhda,qiāng qiáng
或,ak akg akgd,huò yù
战,hka hkat,zhàn
戚,dhi dhit,qī
戛,dha dhar,jiá
截,faw,jié
戳,nwya,chuō
戴,falw,dài
户,yne,hù
戾,ynd yndi,lì
房,yny ynyv,fáng páng
所,rn rnrh,suǒ
扁,ynma,biǎn piān biàn
扇,ynnd,shàn shān
扈,ynkc,hù
扉,yndd,fēi
手,rt rtg,shǒu
才,ft fte,cái
扎,rnn,zā zhā zhá zhǎ
扑,rhy,pū
扒,rwy,bā pá pā
打,rs rsh,dǎ dá
扔,re ren,rēng rèng
托,rta,tuō
扛,rag,káng gāng
扣,rk rkg,kòu
执,rvy rvyy,zhí
扩,ry ryt,kuò
扫,rv rvg,sǎo sào
扬,rnr,yáng
扭,rnf,niǔ
扮,rwv rwvn,bàn
扯,rhg,chě
扰,rdn,rǎo róu
扳,rrc,bān pān
扶,rfw,fú pú
批,rx rxx rxxn,pī
扼,rdb rdbn,è
找,ra rat,zhǎo
承,bd bdi bdii,chéng zhěng
技,rfc rfcy,jì
抄,rit ritt,chāo
抉,rnwy,jué
把,rcn,bǎ bà
抑,rqb rqbh,yì
抒,rcb rcbh,shū
抓,rrhy,zhuā zhāo
投,rmc rmcy,tóu
抖,rufh,dǒu
抗,rymn,kàng káng
折,rr rrh,zhē zhé shé
抚,rfq rfqn,fǔ hū
抛,rvl rvln,pāo
抠,raq,kōu
抡,rwx rwxn,lūn lún
抢,rwb rwbn,qiāng qiǎng chēng
护,ryn rynt,hù
报,rb rbc rbcy,bào
抨,rguh,pēng bēng
披,rhc rhcy,pī
抬,rck rckg,tái
抱,rqn,bào
抵,rqa rqay,dǐ
抹,rgs rgsy,mǒ mò mā
押,rl rlh,yā xiá
抽,rm rmg,chōu
抿,rna rnan,mǐn
拂,rxjh,fú bì
拄,ryg rygg,zhǔ
担,rjg rjgg,dān dàn
拆,rry,chāi cā chè
拇,rxg rxgu,mǔ
拉,ru rug,lā lá lǎ là
拌,rufh,bàn pàn
拍,rrg,pāi bó pò
拎,rwyc,līn līng
拐,rkl rkln,guǎi
拒,ran rang,jù jǔ
拓,rd rdg,tuò tà zhí
拔,rdc rdcy,bá bèi
拖,rtb rtbn,tuō
拗,rxl rxln,ǎo ào niù
拘,rqk rqkg,jū gōu
拙,rbm,zhuō zhuó
拚,rca rcah,pàn pīn fān
招,rvk rvkg,zhāo qiáo sháo
拜,rdfh,bài
拟,rny,nǐ
拢,rdx rdxn,lǒng
拣,ranw,jiǎn
拥,reh,yōng yǒng
拦,ruf,lán
拧,rps rpsh,níng nǐng nìng
拨,rnt,bō fá
择,rcf rcfh,zé zhái
括,rtd,kuò guā
拭,raa raag,shì
拯,rbi rbig,zhěng
拱,raw rawy,gǒng
拳,udr udrj,quán
拴,rwg rwgg,shuān
拷,rft rftn,kǎo
拼,rua ruah,pīn
拽,rjx rjxt,zhuài zhuāi yè
拾,rwgk,shí shè jiè
拿,wgkr,ná
持,rf rff rffy,chí
挂,rffg,guà
指,rxj,zhǐ
按,rpv rpvg,àn
挎,rdfn,kuà kū kōu
挑,riq riqn,tiāo tiǎo tāo
挖,rpwn,wā
挚,rvyr,zhì
挛,yor yorj,luán liàn
挟,rgu rguw,xié jiā xiá
挠,ratq,náo
挡,riv rivg,dǎng dàng tǎng
挣,rqvh,zhēng zhèng
挤,ryj ryjh,jǐ
挥,rpl rplh,huī
挨,rct rctd,āi ái
挪,rvf,nuó ruó
挫,rww,cuò
振,rdf rdfe,zhèn zhēn zhěn
挺,rtfp,tǐng
挽,rqkq,wǎn
捂,rgkg,wǔ
捅,rce rceh,tǒng
捆,rls rlsy,kǔn
捉,rkh rkhy,zhuō
捌,rklj,bā
捍,rjf,hàn
捎,rie rieg,shāo shào
捏,rjfg,niē
捐,rke,juān yuán
捕,rge rgey,bǔ
捞,rap rapl,lāo
损,rkm rkmy,sǔn
捡,rwgi,jiǎn liàn
换,rq rqm rqmd,huàn
捣,rqym,dǎo
捧,rdw rdwh,pěng
据,rnd rndg,jù jū
捶,rtgf,chuí
捷,rgv rgvh,jié qiè
捺,rdfi,nà
捻,rwyn,niǎn niē
掀,rrq rrqw,xiān
掂,ryh,diān
授,rep repc,shòu
掉,rhj rhjh,diào
掌,ipkr,zhǎng
掏,rqr,tāo
掐,rqv rqvg,qiā
排,rdj rdjd,pái pǎi bèi
掖,ryw,yè yē yě yì
掘,rnbm,jué
掠,ryiy,lüè lě lè
探,rpws,tàn tān
掣,rmhr,chè
接,ruv ruvg,jiē
控,rpw,kòng qiāng
推,rwyg,tuī
掩,rdjn,yǎn
措,raj,cuò zé
掬,rqo rqoy,jū jú
掰,rwvr,bāi
掷,rudb,zhì zhī zhí
掺,rcd rcde,chān xiān càn shǎn sēn
揉,rcbs,róu
揍,rdwd,zòu còu
描,ral,miáo
提,rj rjgh,tí dī dǐ shí
插,rtf rtfv,chā
揖,rkb rkbg,yī jí
握,rng,wò
揣,rmd rmdj,chuǎi chuài chuāi tuán zhuī
揩,rxxr,kāi
揪,rto rtoy,jiū
揭,rjq rjqn,jiē qì
援,ref,yuán
揽,rjt rjtq,lǎn
搀,rqku,chān
搁,rut,gē gé
搂,ro rov rovg,lǒu lōu lóu
搅,ripq,jiǎo
搏,rgef,bó
搐,ryxl,chù chōu
搓,rud ruda,cuō
搔,rcyj,sāo zhǎo
搜,rvh rvhc,sōu
搞,rym rymk,gǎo
搪,ryv ryvk,táng
搬,rte rtec,bān
搭,rawk,dā tà
携,rwye,xié xī xí
摁,rld rldn,èn
摄,rbcc,shè niè
摆,rlf,bǎi
摇,rer rerm,yáo
摊,rcw rcwy,tān
摔,ryx ryxf,shuāi
摘,rum rumd,zhāi zhé
摧,rmw rmwy,cuī cuò
摩,yssr,mó mā
摸,rajd,mō mó
摹,ajdr,mó
撇,rumt,piē piě
撑,rip ripr,chēng
撒,rae,sā sǎ
撕,rad radr,sī xī
撞,ruj,zhuàng chuáng
撤,ryc ryct,chè
撩,rdu rdui,liāo liáo liào
撬,rtfn,qiào
播,rtol,bō bǒ bò
撮,rjb,cuō zuǒ
撰,rnnw,zhuàn suàn xuǎn
撵,rfwl,niǎn
撷,rfkm,xié
撼,rdgn,hàn
擂,rfl rflg,léi lèi lēi
擅,ryl rylg,shàn
操,rkk rkks,cāo cào
擎,aqkr,qíng
擒,rwyc,qín
擦,rpwi,cā
攀,sqq sqqr,pān
攒,rtfm,zǎn cuán zuān
攘,ryk ryke,rǎng níng ráng ràng xiǎng
攥,rthi,zuàn
支,fc fcu,zhī
攴,hcu,pū
收,nh nht,shōu
攸,whty,yōu
改,nty,gǎi
攻,at aty,gōng
放,yt yty,fàng fǎng
政,ght ghty,zhèng zhēng
故,dty,gù gǔ
效,uqt,xiào
敌,tdt,dí
敏,txgt,mǐn
救,fiyt,jiù
敕,gkit,chì
敖,gqty,áo ào
教,ftbt,jiào jiāo
敛,wgit,liǎn lián liàn
敝,umi umit,bì
敞,imkt,chǎng
敢,nb nbt nbty,gǎn
散,aet aety,sàn sǎn
敦,ybt ybty,dūn duì diāo duī tuán tún
敫,ryty,jiǎo jiào
敬,aqk aqkt,jìng
数,ovt ovty,shù shǔ shuò cù
敲,ymkc,qiāo
整,gkih,zhěng
敷,geht,fū
文,yygy,wén wèn
斋,ydm ydmj,zhāi
斌,yga ygah,bīn
斐,djdy,fěi fēi
斑,gyg gygg,bān
斗,ufk,dǒu dòu
料,ou ouf oufh,liào liáo
斜,wtuf,xié xiá yé
斟,adwf,zhēn
斤,rtt,jīn
斥,ryi,chì
斧,wqr wqrj,fǔ
斩,lr lrh,zhǎn
断,on onr onrh,duàn
斯,adwr,sī
新,usr,xīn
方,yy yygn,fāng fēng páng wǎng
施,ytb ytbn,shī shǐ yí yì
旁,upy upyb,páng bàng
旅,ytey,lǚ
旋,ytn ytnh,xuán xuàn
族,ytt yttd,zú còu zòu
旗,yta ytaw,qí
无,fq fqv,wú mó
既,vca vcaq,jì xì
日,jjjj,rì mì
旦,jgf,dàn
旧,hj hjg,jiù
旨,xj xjf,zhǐ
早,jh jhn jhnh,zǎo
旬,qj qjd,xún
旭,vj vjd,xù
旱,jfj,hàn
时,jf jfy,shí
旷,jyt,kuàng
旺,jgg,wàng
昂,jqb jqbj,áng
昆,jx jxx jxxb,kūn hùn
昌,jj jjf,chāng
明,je jeg,míng
昏,qajf,hūn mǐn
易,jqr jqrr,yì
昔,ajf,xī cuò xí
星,jtg,xīng
映,jmd jmdy,yìng
春,dw dwj dwjf,chūn chǔn
昧,jfi,mèi
昨,jt jth,zuó
昭,jvk jvkg,zhāo
是,j jgh jghu,shì
昵,jnx jnxn,nì nǐ zhì
昼,nyj,zhòu
显,jo jog jogf,xiǎn
晃,ji jiq,huǎng huàng
晋,gogj,jìn
晌,jtm jtmk,shǎng
晏,jpv jpvf,yàn
晒,jsg,shài
晓,jat,xiǎo
晕,jp jpl jplj,yùn yūn
晚,jq jqk jqkq,wǎn
晤,jgk jgkg,wù
晦,jtx jtxu,huì
晨,jd jdf jdfe,chén
普,uo uog uogj,pǔ
景,jy jyiu,jǐng yǐng
晰,jsr,xī
晴,jge,qíng
晶,jjj jjjf,jīng
智,tdkj,zhì zhī
晾,jyiy,liàng
暂,lrj,zàn
暄,jpg jpgg,xuān
暇,jnh jnhc,xiá xià
暑,jft jftj,shǔ
暖,jef jefc,nuǎn xuān
暗,ju juj,àn
暨,vcag,jì
暮,ajdj,mù
暴,jaw jawi,bào pù bó
曙,jl jlfj,shǔ shù
曝,jja,pù bào
曰,jhng,yuē
曲,ma mad,qū qǔ
曳,jxe,yè yì
更,gjq gjqi,gēng gèng
曷,jqwn,hé
曹,gma gmaj,cáo
曼,jlc jlcu,màn mán
曾,ul ulj uljf,zēng céng
替,fwf fwfj,tì
最,jb jbc jbcu,zuì
月,eee eeee,yuè
有,def e,yǒu yòu
朋,ee eeg,péng
服,eb ebc ebcy,fú fù bì
朔,ubte,shuò
朕,eudy,zhèn
朗,yvc yvce,lǎng
望,yneg,wàng
朝,fje fjeg,zhāo cháo zhū
期,adwe,qī jī qí
朦,eap eape,méng
木,ssss,mù
未,fii,wèi
末,gs gsi,mò
本,sg,běn
札,snn,zhá
术,sy syi,shù shú zhú
朱,ri rii,zhū shú
朴,shy,pǔ pò pō piáo pú
朵,ms msu,duǒ
机,sm smn,jī
朽,sgnn,xiǔ
杀,qsu,shā sà shài shè
杂,vs vsu,zá
权,sc scy,quán
杆,sfh,gǎn
杉,set,shān shā
李,sb sbf,lǐ
杏,skf,xìng
材,sft sftt,cái
村,sf sfy,cūn
杖,sdy sdyy,zhàng
杜,sfg,dù
束,gki gkii,shù
杠,sag,gàng gāng
条,ts tsu,tiáo tiāo
来,go,lái lài
杨,sn snr snrt,yáng
杭,sym symn,háng kāng
杯,sgi sgiy,bēi
杰,so,jié
松,swc swcy,sōng
板,src srcy,bǎn
极,se seyy,jí
构,sq sqc sqcy,gòu
枉,sgg,wǎng
析,sr srh,xī
枕,spq,zhěn zhèn
林,ss ssy,lín
枚,sty,méi
果,js jsi,guǒ kè luǒ wǒ
枝,sfc sfcy,zhī qí
枢,saq,shū
枣,gmiu,zǎo
枪,swb swbn,qiāng chēng
枫,smq smqy,fēng
枯,sd,kū
架,lks lksu,jià
柄,sgm sgmw,bǐng bìng
柏,srg,bǎi bó bò
某,afs,mǒu
柑,saf safg,gān qián
柒,ias,qī
染,ivs ivsu,rǎn
柔,cbts,róu
柜,san sang,guì
柠,sps spsh,níng
查,sj sjg sjgf,chá zhā
柬,gli glii,jiǎn
柯,ssk sskg,kē
柱,syg sygg,zhù zhǔ
柳,sqt sqtb,liǔ
柴,hxs hxsu,chái zhài zì
柿,symh,shì
栅,smm smmg,shān cè shà zhà
标,sfi,biāo
栈,sgt,zhàn
栋,sai,dòng
栏,suf sufg,lán liàn
树,scf scfy,shù
栓,swg swgg,shuān
栖,ssg,qī xī
栗,ssu,lì
校,suq suqy,xiào jiào jiǎo xiáo
株,sri,zhū
样,su sud sudh,yàng xiàng
核,synw,hé hú
根,sve svey,gēn
格,st stk stkg,gé gē
栽,fas fasi,zāi zài
桀,qahs,jié
桂,sff sffg,guì
桃,siq,táo
框,sagg,kuàng kuāng
案,pvs pvsu,àn
桌,hjs hjsu,zhuō
桐,smgk,tóng
桑,cccs,sāng
桓,sgjg,huán
桔,sfk,jié jú xié
档,si siv sivg,dàng dǎng
桥,std stdj,qiáo
桦,swx swxf,huà
桨,uqs uqsu,jiǎng jiāng
桩,syf syfg,zhuāng chōng
桶,sce sceh,tǒng
梁,ivw ivws,liáng
梅,stx stxu,méi
梆,sdt sdtb,bāng
梗,sgjq,gěng
梢,sie sieg,shāo sào shào xiāo
梦,ssq ssqu,mèng méng
梧,sgk,wú wù yǔ
梨,tjs tjsu,lí
梭,scw scwt,suō xùn
梯,sux suxt,tī tí
械,sa saa saah,xiè jiè
梳,syc sycq,shū
梵,ssm ssmy,fàn
检,sw swgi,jiǎn
棉,srm srmh,mián
棋,sad sadw,qí jī
棍,sjx sjxx,gùn hùn āo gǔn
棒,sdw sdwh,bàng
棕,sp spf spfi,zōng
棘,gmii,jí
棚,see seeg,péng
棠,ipks,táng
森,sss sssu,sēn
棱,sfw sfwt,léng lēng líng lèng
棵,sjs,kē kě kuǎn
棺,spn spnn,guān guàn
椅,sds sdsk,yǐ yī
植,sfhg,zhí
椎,swyg,zhuī chuí
椒,shi shic,jiāo
椭,sbd sbde,tuǒ duǒ
椰,sbb sbbh,yē yé
椿,sdwj,chūn
楚,ssn ssnh,chǔ
楞,sl sly slyn,léng lèng
楠,sfm sfmf,nán
楣,snh snhg,méi
楷,sx sxx sxxr,kǎi jiē
楼,sov sovg,lóu lǘ
概,svc svcq,gài guì jié
榄,sjtq,lǎn
榆,swgj,yú
榔,syv syvb,láng lǎng
榕,spwk,róng
榜,sup supy,bǎng bàng bēng páng
榨,spw spwf,zhà
榴,sqy sqyl,liú
榻,sjn sjng,tà
槐,srq srqc,huái
槛,sjt sjtl,jiàn kǎn xiǎn
槟,spr sprw,bīn bīng
槽,sgmj,cáo zāo
樊,sqqd,fán fàn pán
樟,suj sujh,zhāng
模,saj sajd,mó mú
横,sam samw,héng hèng
樱,smmv,yīng
橄,snb snbt,gǎn
橘,scbk,jú
橙,swgu,chéng chén dèng
橡,sqj sqje,xiàng
橱,sdgf,chú
檀,syl sylg,tán shàn
檐,sqdy,yán dān
檬,sap sape,méng
欠,qw qwu,qiàn quē
次,uqw,cì
欢,cqw cqwy,huān
欣,rqw rqwy,xīn
欧,aqq aqqw,ōu ǒu
欲,wwkw,yù
欺,adww,qī
款,ffi,kuǎn xīn
歇,jqw jqww,xiē yà
歉,uvow,qiàn
歌,sksw,gē
止,hh hhh hhhg,zhǐ
正,ghd,zhèng zhēng
此,hx hxn,cǐ
步,hi hir,bù
武,gah gahd,wǔ
歧,hfc hfcy,qí
歪,gig gigh,wāi wǎi
歹,gqi,dǎi dāi è
死,gqx gqxb,sǐ
歼,gqt,jiān
殃,gqm gqmd,yāng
殆,gqc gqck,dài
殉,gqq gqqj,xùn
殊,gqr gqri,shū
残,gqg gqgt,cán
殖,gqf gqfh,zhí shi shì
殡,gqp gqpw,bìn
殳,mcu,shū
殴,aqm aqmc,ōu kōu qū
段,wdm wdmc,duàn
殷,rvn rvnc,yīn yān yǐn
殿,naw nawc,diàn
毁,va vam vamc,huǐ huì
毅,uem uemc,yì
毋,xde,wú
母,xgu xgui,mǔ mú wú wǔ
每,txg txgu,měi mèi
毒,gxgu,dú dài
毓,txgq,yù
比,xx xxn,bǐ bì pí pǐ
毕,xxf xxfj,bì
毗,lxx lxxn,pí
毙,xxgx,bì
毛,tfn tfnv,máo mào
毡,tfnk,zhān
毫,ypt yptn,háo
毯,tfno,tǎn
氏,qa qav,shì zhī jīng
氐,qay qayi,dī dǐ zhī
民,n na nav,mín
氓,ynna,méng máng
气,rnb,qì xì
氛,rnw rnwv,fēn
氢,rnc rnca,qīng
氧,rnud,yǎng
氨,rnp rnpv,ān
氪,rndq,kè
氮,rno rnoo,dàn
氯,rnv rnvi,lǜ
水,ii iii,shuǐ
永,yni,yǒng
汀,ish,tīng
汁,ifh,zhī shī xié
求,fiy fiyi,qiú
汇,ian,huì
汉,ic icy,hàn tān
汗,ifh,hàn hán gān
汛,inf infh,xùn
汝,ivg,rǔ
汞,aiu,gǒng
江,ia iag,jiāng
池,ib ibn,chí chè tuó
污,ifn ifnn,wū wā wù yū
汤,inr inrt,tāng shāng tàng yáng
汩,ijg,gǔ yù hú
汪,ig igg,wāng hóng wǎng
汰,idy idyy,tài
汲,iey,jí
汶,iyy,wèn mén mín wén
汹,iqbh,xiōng
汽,irn irnn,qì gāi yǐ
沁,in iny,qìn
沃,itdy,wò
沈,ipq,shěn chén chèn pán
沉,ipm ipmn,chén
沌,igb,dùn chún tún zhuàn
沐,isy,mù
沓,ijf,tà dá
沙,iit iitt,shā shà suō
沛,igmh,pèi
沟,iqc iqcy,gōu gǎng kòu
没,im imc imcy,méi mò
沥,idl idln,lì
沦,iwx iwxn,lún guān lǔn
沧,iwb iwbn,cāng
沪,iyn iynt,hù
沫,igs igsy,mò
沮,ieg iegg,jǔ jù jiān jū zǔ
河,isk iskg,hé
沸,ixj ixjh,fèi fú
油,img,yóu yòu
治,ick ickg,zhì chí yí
沼,ivk ivkg,zhǎo
沽,idg,gū gǔ
沾,ihk ihkg,zhān chān diàn tiān tiē
沿,imk,yán yàn
泄,iann,xiè yì
泉,riu,quán
泊,ir irg,bó pō pó pò
泌,int intt,mì bì
法,if ifc ifcy,fǎ
泛,itp,fàn fá fán fěng
泞,ips,nìng nì níng
泡,iqn iqnn,pào pāo páo
波,ihc ihcy,bō bēi bì
泣,iug,qì lì sè
泥,inx inxn,ní nì nǐ niè nìng
注,iy iyg iygg,zhù
泪,ihg,lèi lì
泰,dwi dwiu,tài
泳,iyni,yǒng
泵,diu,bèng liú pìn
泻,ipgg,xiè
泼,inty,pō bō
泽,icf icfh,zé shì duó yì
洁,ifk ifkg,jié
洋,iu iud iudh,yáng xiáng yǎng
洒,is isg,sǎ xǐ lí shī xiǎn
洗,itf itfq,xǐ xiǎn
洛,itk itkg,luò
洞,imgk,dòng tóng
津,ivfh,jīn
洪,iaw,hóng
洲,iyt,zhōu
活,itd itdg,huó guō
洼,iffg,wā
洽,iwg iwgk,qià hé xiá
派,ire irey,pài bài mài pā
流,iyc,liú
浅,igt,qiǎn cán jiān jiàn zàn
浆,uqi uqiu,jiāng jiàng
浇,iat iatq,jiāo ào nào
浊,ij ijy,zhuó
测,imj imjh,cè
济,iyj,jì jǐ qí
浏,iyjh,liú liū
浑,ipl iplh,hún gǔn hùn
浓,ipe ipey,nóng
浙,irr irrh,zhè
浚,icwt,jùn xùn cún
浣,ipfq,huàn guǎn wǎn
浦,igey,pǔ
浩,itfk,hào gǎo gé
浪,iyv iyve,làng láng
浮,ieb iebg,fú
浴,iww iwwk,yù
海,itx itxu,hǎi
浸,ivp ivpc,jìn qīn
涂,iwt iwty,tú
涅,ijfg,niè
消,iie iieg,xiāo
涉,ihi,shè dié
